Number of CPU,Check available CPU and limit,Load Model,Prepare data,Run Inference,Inference per Image,Total Time,Batch size,Number of SM
2,0.0002083778381347,3.620609045028688,0.0734562873840332,0.0204798221588134,0.0102399110794067,3.899736404418945,2,72
4,3.1948089599609375e-05,0.0210189819335937,0.0459842681884765,0.0141391038894653,0.0070695519447326,0.2088997364044189,2,72
8,2.8371810913085938e-05,0.0185654163360595,0.0477409362792968,0.0142020940780639,0.0071010470390319,0.2088513374328613,2,72
16,3.027915954589844e-05,0.0194685459136962,0.0494754314422607,0.0145517110824584,0.0072758555412292,0.2153573036193847,2,72
32,3.3855438232421875e-05,0.0188276767730712,0.0483224391937255,0.0144620418548583,0.0072310209274291,0.2123143672943115,2,72
48,3.552436828613281e-05,0.0189576148986816,0.0470762252807617,0.0142284154891967,0.0071142077445983,0.2088038921356201,2,72
2,2.9802322387695312e-05,0.018815279006958,0.0472838878631591,0.0210645675659179,0.0052661418914794,0.2772362232208252,4,72
4,2.8371810913085938e-05,0.018705129623413,0.0478496551513671,0.0207221031188964,0.0051805257797241,0.2742998600006103,4,72
8,2.8848648071289062e-05,0.0189731121063232,0.0469622611999511,0.0203954458236694,0.0050988614559173,0.2703714370727539,4,72
16,3.0517578125e-05,0.018639326095581,0.0476045608520507,0.0203777551651,0.005094438791275,0.2705121040344238,4,72
32,3.4809112548828125e-05,0.0186235904693603,0.0470061302185058,0.0204078674316406,0.0051019668579101,0.2701895236968994,4,72
48,3.981590270996094e-05,0.0185630321502685,0.0476405620574951,0.0203737020492553,0.0050934255123138,0.2704253196716308,4,72
2,3.075599670410156e-05,0.0184619426727294,0.0468988418579101,0.0358979225158691,0.0044872403144836,0.4248261451721191,8,72
4,2.8848648071289062e-05,0.0189671516418457,0.047194480895996,0.0353721141815185,0.0044215142726898,0.4203610420227051,8,72
8,2.8371810913085938e-05,0.0188732147216796,0.0473966598510742,0.0354177236557006,0.0044272154569625,0.4209249019622803,8,72
16,3.027915954589844e-05,0.0188984870910644,0.047525405883789,0.0353482484817504,0.0044185310602188,0.4204089641571045,8,72
32,3.5762786865234375e-05,0.0188236236572265,0.0472629070281982,0.0354256391525268,0.0044282048940658,0.4208214282989502,8,72
48,3.838539123535156e-05,0.0187129974365234,0.0470650196075439,0.0354127168655395,0.0044265896081924,0.4204907417297363,8,72
2,2.789497375488281e-05,0.0191502571105957,0.0486040115356445,0.0325460135936737,0.0020341258496046,0.328606367111206,16,72
4,2.86102294921875e-05,0.0191133022308349,0.0470561981201171,0.0305106043815612,0.0019069127738475,0.3107199668884277,16,72
8,3.0040740966796875e-05,0.0188469886779785,0.0475242137908935,0.0306253433227539,0.0019140839576721,0.3119254112243652,16,72
16,3.0040740966796875e-05,0.0191104412078857,0.0484297275543212,0.0306307077407836,0.0019144192337989,0.3130655288696289,16,72
32,3.4332275390625e-05,0.0189042091369628,0.049213171005249,0.0310358107089996,0.0019397381693124,0.317065954208374,16,72
48,5.459785461425781e-05,0.0190317630767822,0.0476593971252441,0.0305894911289215,0.0019118431955575,0.311967134475708,16,72
2,2.6226043701171875e-05,0.0188829898834228,0.0474686622619628,0.1405918598175048,0.004393495619297,0.6292235851287842,32,72
4,3.027915954589844e-05,0.0190217494964599,0.0475039482116699,0.1337189674377441,0.0041787177324295,0.6018877029418945,32,72
8,2.86102294921875e-05,0.0186877250671386,0.0479350090026855,0.1340399384498596,0.0041887480765581,0.6033093929290771,32,72
16,3.147125244140625e-05,0.0191156864166259,0.047647476196289,0.1336449384689331,0.0041764043271541,0.6018145084381104,32,72
32,3.314018249511719e-05,0.0196039676666259,0.0459570884704589,0.1344423294067382,0.0042013227939605,0.6038856506347656,32,72
48,3.695487976074219e-05,0.0190839767456054,0.0478880405426025,0.1339219808578491,0.0041850619018077,0.6031494140625,32,72
2,3.147125244140625e-05,0.019244909286499,0.0478217601776123,0.134473443031311,0.0021011475473642,0.3365292549133301,64,72
4,2.789497375488281e-05,0.0190064907073974,0.0475029945373535,0.1342140436172485,0.0020970944315195,0.3354139328002929,64,72
8,2.956390380859375e-05,0.0188961029052734,0.0477950572967529,0.1341553926467895,0.002096178010106,0.335491418838501,64,72
16,3.027915954589844e-05,0.0187981128692626,0.0477344989776611,0.1339846849441528,0.0020935107022523,0.3349866867065429,64,72
32,3.337860107421875e-05,0.0189802646636962,0.0476484298706054,0.1344404220581054,0.0021006315946578,0.3360278606414795,64,72
48,4.0531158447265625e-05,0.0187568664550781,0.0475325584411621,0.1341321468353271,0.0020958147943019,0.3350474834442138,64,72
2,2.9087066650390625e-05,0.0191321372985839,0.0499191284179687,0.3483901023864746,0.0027217976748943,0.4179577827453613,128,72
2,0.0001566410064697,4.816914796829224,0.0728223323822021,0.0243052959442138,0.0121526479721069,5.133832931518555,2,60
4,4.6253204345703125e-05,0.0247371196746826,0.0547311305999755,0.0178067207336425,0.0089033603668212,0.2581560611724853,2,60
8,3.62396240234375e-05,0.0234396457672119,0.0537519454956054,0.0178394794464111,0.0089197397232055,0.256143569946289,2,60
16,4.029273986816406e-05,0.0239884853363037,0.0529861450195312,0.0181104183197021,0.009055209159851,0.2586638927459717,2,60
32,4.172325134277344e-05,0.0231695175170898,0.051903486251831,0.0179817914962768,0.0089908957481384,0.2554249763488769,2,60
48,4.38690185546875e-05,0.0231866836547851,0.0526750087738037,0.0181791067123413,0.0090895533561706,0.2582435607910156,2,60
2,3.361701965332031e-05,0.0229167938232421,0.0553832054138183,0.0262881994247436,0.0065720498561859,0.3417510986328125,4,60
4,3.552436828613281e-05,0.0239512920379638,0.0589089393615722,0.0258619546890258,0.0064654886722564,0.3420417308807373,4,60
8,3.695487976074219e-05,0.0240030288696289,0.0583565235137939,0.0258670568466186,0.0064667642116546,0.3416023254394531,4,60
16,3.743171691894531e-05,0.0239355564117431,0.0586941242218017,0.0258095741271972,0.0064523935317993,0.341304063796997,4,60
32,4.0531158447265625e-05,0.0241189002990722,0.058030366897583,0.0258626222610473,0.0064656555652618,0.341332197189331,4,60
48,4.482269287109375e-05,0.0247364044189453,0.0583319664001464,0.0258437395095825,0.0064609348773956,0.3420665264129638,4,60
2,3.743171691894531e-05,0.0239543914794921,0.0584864616394043,0.0431847095489501,0.0053980886936187,0.5154664516448975,8,60
4,3.62396240234375e-05,0.0243299007415771,0.0609200000762939,0.0426683664321899,0.0053335458040237,0.5125176906585693,8,60
8,3.933906555175781e-05,0.0241041183471679,0.0583014488220214,0.0425783395767211,0.0053222924470901,0.5087692737579346,8,60
16,3.767013549804688e-05,0.0231873989105224,0.054419994354248,0.0425804376602172,0.0053225547075271,0.5039639472961426,8,60
32,4.172325134277344e-05,0.0232741832733154,0.053077220916748,0.0425879478454589,0.0053234934806823,0.5027554035186768,8,60
48,4.529953002929688e-05,0.0231091976165771,0.052492618560791,0.0425194978713989,0.0053149372339248,0.5013298988342285,8,60
2,3.337860107421875e-05,0.0239014625549316,0.0508642196655273,0.0372683107852935,0.0023292694240808,0.3734462261199951,16,60
4,3.552436828613281e-05,0.0231709480285644,0.0520944595336914,0.0368944406509399,0.0023059025406837,0.3709492683410644,16,60
8,3.552436828613281e-05,0.0231168270111084,0.05279541015625,0.0368976593017578,0.0023061037063598,0.3716130256652832,16,60
16,3.743171691894531e-05,0.0231866836547851,0.0534319877624511,0.0368716120719909,0.0023044757544994,0.3720993995666504,16,60
32,4.148483276367188e-05,0.0230143070220947,0.0524117946624755,0.0373018085956573,0.0023313630372285,0.3749198913574219,16,60
48,4.220008850097656e-05,0.0235683917999267,0.0549526214599609,0.0369043052196502,0.0023065190762281,0.374274730682373,16,60
2,3.266334533691406e-05,0.0223360061645507,0.0524837970733642,0.1870861053466797,0.0058464407920837,0.8237764835357666,32,60
4,3.600120544433594e-05,0.0234391689300537,0.0535480976104736,0.1863767504692077,0.0058242734521627,0.8230459690093994,32,60
8,3.647804260253906e-05,0.0228786468505859,0.052147626876831,0.1861798167228698,0.0058181192725896,0.8202621936798096,32,60
16,3.886222839355469e-05,0.0233821868896484,0.0520355701446533,0.1863424181938171,0.0058232005685567,0.8213291168212891,32,60
32,4.1961669921875e-05,0.0242145061492919,0.0584297180175781,0.1864944696426391,0.0058279521763324,0.829167366027832,32,60
48,4.57763671875e-05,0.0241384506225585,0.0573270320892334,0.1863604187965393,0.0058237630873918,0.8274495601654053,32,60
2,3.361701965332031e-05,0.0241882801055908,0.0591433048248291,0.1662100553512573,0.0025970321148633,0.4163391590118408,64,60
4,3.4809112548828125e-05,0.0242776870727539,0.0591657161712646,0.1664144992828369,0.0026002265512943,0.4173696041107178,64,60
8,4.1961669921875e-05,0.0244543552398681,0.0569715499877929,0.1659296751022339,0.0025926511734724,0.4139502048492431,64,60
16,3.409385681152344e-05,0.0233716964721679,0.0531461238861084,0.1662803888320922,0.0025981310755014,0.4096477031707763,64,60
32,4.57763671875e-05,0.0234286785125732,0.0522339344024658,0.1657123565673828,0.0025892555713653,0.407632827758789,64,60
48,4.315376281738281e-05,0.0229003429412841,0.0530986785888671,0.1656317710876464,0.0025879964232444,0.4078447818756103,64,60
2,0.0001435279846191,4.810153961181641,0.076040506362915,0.0236109733581542,0.0118054866790771,5.12348222732544,2,50
4,4.529953002929688e-05,0.0260939598083496,0.0565910339355468,0.0198338985443115,0.0099169492721557,0.281914472579956,2,50
8,4.100799560546875e-05,0.02415132522583,0.0592803955078125,0.0196507453918457,0.0098253726959228,0.2805283069610595,2,50
16,4.029273986816406e-05,0.0240144729614257,0.0578083992004394,0.0195346593856811,0.0097673296928405,0.2777621746063232,2,50
32,4.100799560546875e-05,0.0238597393035888,0.0580170154571533,0.0196294069290161,0.009814703464508,0.2787156105041504,2,50
48,4.2438507080078125e-05,0.0239551067352294,0.0582697391510009,0.0199036598205566,0.0099518299102783,0.2818078994750976,2,50
2,3.528594970703125e-05,0.0239889621734619,0.0582575798034668,0.0298011541366577,0.0074502885341644,0.3808081150054931,4,50
4,3.266334533691406e-05,0.0240182876586914,0.05885910987854,0.0294761180877685,0.0073690295219421,0.3781688213348388,4,50
